cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,sentiment
Ugwygz8I7f4pcRUJYY94AaABAg,I liked him until he said android,5 months ago (edited),@luischiarelli2788,UCNgH58K1XyQgzrg-oQYtLxg,0,,https://yt3.ggpht.com/J0N64T9fvevKsiUCQlVOV8nLMVofwGAsn3xrvgp1kU9zv9Iq0AsTqhTc4oAHuWTkDlCCZZAd8g=s88-c-k-c0x00ffffff-no-rj,False,False,1738226551.607579,Positive
Ugy2jMQbyNppLCTfovV4AaABAg,THERE'S A YARIS CROSS?,5 months ago,@FlawlessImperfectionssssss,UCrBk3tzdICSZg9YvDBvDCxg,0,,https://yt3.ggpht.com/psnFkq2LcDUlUcwDq2iFqk8jDjDnbWpe3ecpQT-MrYRGnyeEYxiiMMndBusfpoLXy79mJ0Gd=s88-c-k-c0x00ffffff-no-rj,False,False,1738226551.610685,Neutral
Ugxn0ogT9RBQ6VFGT5J4AaABAg,That M3 seems like its underperforming,5 months ago,@tftstudios9259,UC0FfBtSNHgSGPf2XSZGksJg,0,,https://yt3.ggpht.com/AIBgGOyr7W-_NCMRDSDUUspNgsUrITXlW3PER4IMpyQGoJtboPVFehE3Aw3Pcq3VDqlJ4Gludw=s88-c-k-c0x00ffffff-no-rj,False,False,1738226551.612699,Positive
UgzP86Xfn-O64a4OT514AaABAg,m3 half the price here in Australia. 150k vs 300k plus,6 months ago,@kobebryant5135,UC6etNecKfoQPJswfEt4PzXA,0,,https://yt3.ggpht.com/ytc/AIdro_m0LOyoimn-_bK8DzjgeQrxLaMNeop4DTCyYvZ085s=s88-c-k-c0x00ffffff-no-rj,False,False,1735548151.614711,Neutral
UgzcI0FDprYd3rF7zW94AaABAg,I’m proud of you. You finally understand the 911 purpose.🙏🏾😆😎,6 months ago,@patrickj5731,UCZdfvHd9bX4B7yXIuEUZTIQ,0,,https://yt3.ggpht.com/H3AT_BdJFFBbEe31Hcd180hiD67ftbzGFR543LPH-6i33AcDILdfSZyIm8d1SxOAiHEBFF7s=s88-c-k-c0x00ffffff-no-rj,False,False,1735548151.618839,Positive
UgygMUZAyq7JrkNHpWF4AaABAg,Why didn’t he full the throttle during the launch of m3 in the 0-60???,6 months ago (edited),@MJ24_Beats,UCRr5zY551eMC2wTyheUIsZw,0,,https://yt3.ggpht.com/ZeYrNAcuAuyTmnHzDPriSkdGv9_-GvtPOOaADQGghPGB6iKCcZi3W9yM9v4yRMLbqNFnhW-sjA=s88-c-k-c0x00ffffff-no-rj,False,False,1735548151.620933,Neutral
UgzTdKyhdwVKIVUCpWF4AaABAg,"chłopie , co ty porównujesz ?:(  .... COWBOY A czyli pastucha krów  i ARYSTOKRATĘ ?",6 months ago,@edwardgierek-k8i,UCbzY6nt-ZlqDOGnILtY6gsw,0,,https://yt3.ggpht.com/ytc/AIdro_mZ5lc_i1h56pQLYPEJZtsaI7fiLsDOUs-f29AmOkEQStX391GeuIaUOwS6ZWNznVbb5A=s88-c-k-c0x00ffffff-no-rj,False,False,1735548151.624959,Positive
Ugyzzt4RhS0MAvMxvLd4AaABAg,"Porsche, not Porsch! 🙉",7 months ago,@Ryan_McKane,UCLIwEAnH4091fCnJm4xZAlg,0,,https://yt3.ggpht.com/dqTf_ku4UbkRH-HLBYslMN4mVzL-z4IUOyziHrOL78Zbq8xRpCTmNAQ7YB5h2CiIJnWSkyR_=s88-c-k-c0x00ffffff-no-rj,False,False,1732956151.626973,Neutral
UgxbSnSA7AqWAPFVUbh4AaABAg,Why Porsche clunk when slowing down?,7 months ago,@EvanCastillo-gs7lj,UCW1MXAKDxCiEi3J8E8Vpd0w,0,,https://yt3.ggpht.com/ytc/AIdro_lTaXMnHl5ycRM12wip5QSC_0L6EYLJoZU_WM0vnmFvK93hYF87jOMuZAoF0ocTJ3TCig=s88-c-k-c0x00ffffff-no-rj,False,False,1732956151.628986,Neutral
UgzhNSmcNfwpd0GHjR54AaABAg,I think not having a duel clutch caused the bmw to be a second slower,8 months ago,@AustinMoerer,UCowiaOxbns9jElLGAdK_O1w,0,,https://yt3.ggpht.com/ytc/AIdro_m38YEN0om8o8AyXAk0ste27mltx8Qu9GC2_cPUS70uXa-E=s88-c-k-c0x00ffffff-no-rj,False,False,1730277752.468366,Neutral
UgzMhbT9bT8nuR1uujV4AaABAg,"Silly comparison.A mid engine two seater sports car,and a four door front engined car
Totally different uses, and handling dynamics, Stupid!",9 months ago,@jpldriver,UCaPkGivC6WLUaUxTbRIOtRw,0,,https://yt3.ggpht.com/ytc/AIdro_m0TETFurn5xO3vTNZo_KyG8zEccNhCAm15C5V6i6WtE28swaootnwreDnoMX_rgJhYkA=s88-c-k-c0x00ffffff-no-rj,False,False,1727685752.470388,Negative
UgyqtEm2auIM2tnFc_Z4AaABAg,Whats up with the fisting,9 months ago,@conradcreates247,UC5NlYMIuzC758X7DY4cl-Mg,0,,https://yt3.ggpht.com/ytc/AIdro_nEaD_Rk3gYEqhmikjMp7vwgj1kjo_1clhZVFPoWzf4kyAVnj5RvUUogQGgDuScZLz2rA=s88-c-k-c0x00ffffff-no-rj,False,False,1727685752.470388,Neutral
Ugxzp40LiG75FwVIVpV4AaABAg,i might be weird but m3 looks so much better to me,9 months ago,@Kuku_hihi,UCNwGB05Dp2yFXy9UC-Gt1kA,1,,https://yt3.ggpht.com/eP3zJ40LyUHT28yKkFXCTB9JYFRj6DFbsPfJ60E9P132qOmfwHD4VccVs8PT1tu16K7ktBdv=s88-c-k-c0x00ffffff-no-rj,False,False,1727685752.470388,Positive
UgyQwM1hm6tZvqZuxmJ4AaABAg,M3 for me,9 months ago,@tharrrrrrr,UCC0M8Cq1-YKBRfO9UiZF5tg,0,,https://yt3.ggpht.com/qsfyqpuVVQa83lP4ggNkhAg_k8rC9iz2kiXatNJND0EdDv1Ifhk9hMC5w43MEl5h--g3xHeYGw=s88-c-k-c0x00ffffff-no-rj,False,False,1727685752.470388,Neutral
UgyYTQ7iO6no6AdtLOl4AaABAg,Im taking the bmw  just for the fact i cant stand vws.  The porche  is nice but its looks are boring.,10 months ago,@TheJaymnj,UCfxJpxK4GSh68tA-zdStaOw,0,,https://yt3.ggpht.com/ytc/AIdro_m_Tza4H9ra4QNsdVO3mFHkY6Y1R6VutCmXg0w1kD8=s88-c-k-c0x00ffffff-no-rj,False,False,1725007352.470388,Negative
UgzitsYHEKrJl-91gct4AaABAg,The Porsche Carrerrs GTS is nearly 70% more expensive than a M5..the lesser specced over 25% more expensive than the M3/4. Thats outrageous. Its a sham,10 months ago,@jldp24,UCtKrrXFA8JNJx37qydnkOxQ,0,,https://yt3.ggpht.com/ytc/AIdro_lJ_ngwlLlTu3EDYzgscVjMghO6jn5K8Z6TnvLW3JY=s88-c-k-c0x00ffffff-no-rj,False,False,1725007352.48085,Negative
Ugy57o7Z9p82xvTDljp4AaABAg,Wouldn’t the m2/m4 comp be a better comparison because they’re also 2 door coupes?,10 months ago,@xiv_tm431,UCG_EWs5xsJVaSCBvXD6GTFA,1,,https://yt3.ggpht.com/ytc/AIdro_l1ymzaqDDPgsOhjtL1SdsqeKFhZM-cz9BzLkxttTAdPr8cdBNjw1ujCwVkOEU7yzFElw=s88-c-k-c0x00ffffff-no-rj,False,False,1725007352.481249,Positive
Ugy3IggkGkaLeyGiwDJ4AaABAg,Why am i watching this video when all i have is 1k in the bank ?,10 months ago,@Rawmantic92,UCRRXcXOqfyCzjnzdvhLDN7Q,0,,https://yt3.ggpht.com/WCkWnYPIeM08lMn0frsPC-RDHiXrr2RhtT9dnBmDCgZdDFi6HPPKvnWgDTEwccLj4GEdBSltTg=s88-c-k-c0x00ffffff-no-rj,False,False,1725007352.481249,Neutral
Ugzuan9xnoyvRsJYMoZ4AaABAg,Everyone wants to be a joker!,11 months ago,@varinvajanapornsand8960,UCCcQ3DRuS5_2zcU0EZHhGUg,0,,https://yt3.ggpht.com/ytc/AIdro_l-fEEB5g__APeFbdU019fj12htqj6p_NdayrIyue0=s88-c-k-c0x00ffffff-no-rj,False,False,1722328952.481249,Positive
UgyY2sGAmFPr3as4e5p4AaABAg,"0:31 thank god you said im watching carwow, i had no idea!",11 months ago,@CK_Spots,UCn54-VVuzxJLTo0M-4hQlVw,0,,https://yt3.ggpht.com/KII01c6ZJEcB6DtkwQFF1s_afkL2Jd25GqKnM5ScoUOrVQxUEunrgNV1tfYN9xnx9ofM09g6VA=s88-c-k-c0x00ffffff-no-rj,False,False,1722328952.481249,Positive
Ugx-hW6NXSa3gAZtevV4AaABAg,M4 comp > 911,11 months ago,@pdxmx,UCAbiJZpJWHZEx3LPL3LdDHQ,2,,https://yt3.ggpht.com/uazTk14LPVPZOTA3EaYtEPXmx44PHYoJ5FI__-1SS7YKbiTChuNw7PISOBRH5bvQftULwgbsQA=s88-c-k-c0x00ffffff-no-rj,False,False,1722328952.490319,Neutral
Ugw1l53OBSHiB9J9yE94AaABAg,"Porsche 911: “Ima gap you”
BMW M3 G80: “Good luck 🤓”",11 months ago,@bsodgamer1234,UCgnlAnIqOaHVCqE2xzMD0Ng,0,,https://yt3.ggpht.com/Sp8f7PX25tFol_niD3IF-CkEaH4N3hDm3m3KvjPZF_CN4fJNZ92z4-fKEo2CUBFOhy5JHE6kFg=s88-c-k-c0x00ffffff-no-rj,False,False,1722328952.491331,Positive
Ugw_2gjnMlEEtZUqQVt4AaABAg,"Rear vents also display 9-2-9, in addition to the 11 combo.  😊",11 months ago,@dirkpalmer1067,UCuAoTWBO6iPFpJQRzYdZByw,0,,https://yt3.ggpht.com/ytc/AIdro_koRtQTuIwjQ4FP3RZVg1uE66PaOdUeqFgH8lWkw-1bt37GjlJuRBJ7yTL7l5mFm3VeNQ=s88-c-k-c0x00ffffff-no-rj,False,False,1722328952.493415,Positive
UgzQ2imPUZZ9d9n_64R4AaABAg,"Even as I am watching this video of Porsche roasting a BMW,  a BMW ad pops up. Oh the irony",1 year ago,@pbnjgamin1087,UCIaHZ7Imkj-Jm3jCtHiN1MA,0,,https://yt3.ggpht.com/ytc/AIdro_k0Ceuae-tOh3z9jSkYeriSKPiMcuwWznRiKMvBFNM=s88-c-k-c0x00ffffff-no-rj,False,False,1719736952.493415,Negative
UgxdAQFHXDpQ8K-fDYx4AaABAg,F both of this cars if i had the money i would get a doge charger hellcat,1 year ago,@mrbro02,UCdJOUtjTNBAZ36AkV1HJgug,1,,https://yt3.ggpht.com/ytc/AIdro_m5a--2A0kSHPJTmfOyUzuJsCLEPkIBtYWgE0oYhjOZ492NqXOSvIXaZ7Lf_tvLkIVHtA=s88-c-k-c0x00ffffff-no-rj,False,False,1719736952.495426,Neutral
Ugzys6PgGQZhualHS494AaABAg,these are the two cars i want,1 year ago,@sujay7980,UC67nljt_225QPVwGnTAUkAQ,1,,https://yt3.ggpht.com/pb5K3aNzxFKARyP8R6BhvOPbxJJhvk8qPwAN1R-K7YbqW-GPoXx7JyhMmUnmaY-2opFTBdUQGVE=s88-c-k-c0x00ffffff-no-rj,False,False,1719736952.496435,Positive
Ugx3NPCut97aYsP1u0V4AaABAg,Am I missing something here? 911 starts at 120k. 45k more than the M3,1 year ago,@undefeatedgaul3201,UCnGM_g02flJ_c4THc08uleQ,1,,https://yt3.ggpht.com/ytc/AIdro_lMToEAvQ22FKgWh2hwUAhV2WBCYz3TgfaLKBRRRVA=s88-c-k-c0x00ffffff-no-rj,False,False,1719736952.497575,Negative
UgyRUU0UpWFAdxxEvv54AaABAg,why are you launching the M3 in 2nd. Of course it is going to be slower. usually it does 3.3-3-5 consistently to 60. I see you trying to make the Porsche look better,1 year ago,@neonhero4348,UCXJbbwXqQwraniixU6hq4cQ,0,,https://yt3.ggpht.com/Lt0cbfyHTG-HseJQJeGPZSt0_5jT6eDEt-xOw4lxppmX_lOepCd1cqoRs0f53vGyjYmRfXzmv34=s88-c-k-c0x00ffffff-no-rj,False,False,1719736952.497575,Positive
UgxEBkE49eupqKcjBP14AaABAg,I'd have 911 no question but I'd upgrade to a sports exhaust,1 year ago,@andycarr9722,UCriRbVKAXDvfMHRlxTMVG5A,0,,https://yt3.ggpht.com/ytc/AIdro_nSa8a7sDwDbdaPMYyF50ZCKVvfoK5ag0X5ZQWsFBG8Pg=s88-c-k-c0x00ffffff-no-rj,False,False,1719736952.499588,Negative
UgwMmQWanAVs2h7KEI94AaABAg,i wish you had the awd m3 comp to play with the porsche,1 year ago,@pennfootball71,UCCw1goBNSb16wm92epg3KNA,0,,https://yt3.ggpht.com/ytc/AIdro_n_MDRmNhqBXsMJhGADhtEl6AN0JNbfRfDCrBk5g3jibN8=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.406441,Positive
UgzaaROhCP-90QG--3B4AaABAg,"BMW "" this is absolute beast""",1 year ago,@WajahatKhattak-l3l,UChz7JOTSw10RTt2PUxzhKpQ,0,,https://yt3.ggpht.com/ytc/AIdro_njpOXPzjhVheDIVvxD27i2G0ek5k3HBRYeq_8-E8o0D3WRHKC2n2FCC4BvpgaFl4Vvwg=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.406441,Neutral
Ugyo0E3je1WMu9-N5hp4AaABAg,Backseats on Bmw looks so comfortable wow,1 year ago,@autolovers1,UC4jJSswycHEx6M-yJigmsng,1,,https://yt3.ggpht.com/Dmp1IEq57tI5SRViRq-C1CzhbxpZ5PaZrpYPefZ0KyiI5Q9p14BrQ5btMFVmjyM7Rb7J5HhT=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.406441,Positive
UgxIGfGkvmbu0wscAhB4AaABAg,"Mat tells stories about braking distance, behaviour over bumps and tyre noise. Somebody should tell Mat tyres are not built the same. The brake test and his ignorance about tyres are the reasons I don't subscribe.",1 year ago,@tsf17984,UC6oj6asOLA4HSPQu9Pi_yYg,0,,https://yt3.ggpht.com/ytc/AIdro_mEYupIHPVDcfsvHdQf9HTL8QSz0_7KpwxdwlCaA0yy3Eo=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.415497,Negative
UgyCom4lLPUw-7VPBMR4AaABAg,Bmw is BMW😅💪,1 year ago,@elonnesimi4070,UCmjaghrmi6sAH04J9x7fZCw,1,,https://yt3.ggpht.com/Dj8Yo5NG_wazw8nBekUB0Qc_F_SB7sVltfDtT9AdyYyp0Q9__d5LI7TCX2-fq7jVTRf-KhJg6r0=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.415497,Positive
UgxNRsipPRXBKLq7JzF4AaABAg,"Me: Mat, I'm not from the UK, I can't use the app, so I just watch these videos for fun. 
Mat: 1:18",1 year ago (edited),@eduarddobroiu,UCkXVQzf0Ci5rG0dK3KKLZ7Q,0,,https://yt3.ggpht.com/ytc/AIdro_n8NuRbYb4KZBRjZSloer9DzDR7x6TXsrioKCO_72W2sQ4=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.417233,Positive
UgxafZyDyChV3A22cUB4AaABAg,I have a feeling he was favoring the Porsche vs the BMW,1 year ago,@MgGlobal,UCMTryxBRVLXU-2nnH4dx-XQ,0,,https://yt3.ggpht.com/ytc/AIdro_kxSY8rVU1G4i-GaAVqKVMgjVGvcst06mrrNLQI98yKFX8=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.417233,Positive
UgzLgGLYT46Hma7mj1l4AaABAg,my lawn mower sounds better the porsche but no one cares?,1 year ago,@cp1699,UCqxjGlZUavxO1yKp3wRfuKw,0,,https://yt3.ggpht.com/ytc/AIdro_mxCD80Ps5rB2rIgfIkMnkkQhsQMi6cqrLiRU8LpOY=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.421379,Negative
UgxQnZLF1IGaLeM7OHR4AaABAg,don’t think this fella has met the one! good luck,1 year ago,@cp1699,UCqxjGlZUavxO1yKp3wRfuKw,0,,https://yt3.ggpht.com/ytc/AIdro_mxCD80Ps5rB2rIgfIkMnkkQhsQMi6cqrLiRU8LpOY=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.423389,Positive
UgxLbAFocT3YSbsgxUp4AaABAg,no one cares BMW all the way,1 year ago,@cp1699,UCqxjGlZUavxO1yKp3wRfuKw,0,,https://yt3.ggpht.com/ytc/AIdro_mxCD80Ps5rB2rIgfIkMnkkQhsQMi6cqrLiRU8LpOY=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.426024,Negative
Ugy0cY4j9u6apNqre6l4AaABAg,That Zippy comparison was craaaazy 😂😂😂😂,1 year ago,@jimmybootz1277,UC6Mx_C57r6niQbnr4jo1hZQ,0,,https://yt3.ggpht.com/iibOK8U4_pJVXP0woswBeaVLsZAjm6oI09Ga8nyTEE_SbBqu55hvn1saCVnK4j1Y6e_d-oUG4w=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.426024,Positive
Ugy6XxiRIqlJycdLv9F4AaABAg,"Just ordered my m3 on saturday, cant wait for the delivery",1 year ago,@xdbxlsilvio3681,UCYcN2pcIVyB-zgiCJHhsWVQ,2,,https://yt3.ggpht.com/ytc/AIdro_mHbz_laUG5y5rNUGq6P4Q5i8QeB8Pg-VUYfvvu4S4WsmQ=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.426024,Neutral
Ugw2fokJqa0jlB00Aul4AaABAg,Matt was having more fun in the M3,1 year ago,@Abdel725,UCsCuMIPwXIYKdsP4j4N54EA,1,,https://yt3.ggpht.com/ytc/AIdro_n6f3wqyFJ8CK4-nghRWxfFs7yuT1gB7MyZsuSECSEzKg=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.426024,Positive
UgyQm9vOcOGFC3rwXFV4AaABAg,I prefer the Porsche but they have risen too much in price.  They are not worth their price anymore,1 year ago,@brycecampbell4845,UCcBkvg4u2eZb8WjK8ir-KXw,1,,https://yt3.ggpht.com/J-QSFNlCjHiSGp9yvUNMg9h_H0fUOPEzifxDZiJVxBupVeqv6YlZJIYtx6Lw24EuJBMm_f96=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.426024,Negative
UgwWZSqLJM7y5pfY5hd4AaABAg,"Summary:
Porsche for fun, more classic simplicity 
BMW for track, power and hardcore car fans+ more practicality

Overall get the Porsche if you have another practical car and get the bmw for family driving + space",1 year ago (edited),@Numbtea,UCT2VRyOJAVJqOS20j9-Zs2A,0,,https://yt3.ggpht.com/BECg1D5PrImG1F-9weSRDjAxH0OEGTkCrozMV-sB-QKTDjxuI-CqfMdmXHaQnRagiXgdS4U2Jw=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.426024,Positive
UgwmytXA6Vtx2Fq3j4x4AaABAg,m3,1 year ago,@niazkhn,UC3ZY0SQGze6zBJaQjeZB_2Q,0,,https://yt3.ggpht.com/ytc/AIdro_lJFIUZbpk_XPBtX0ZvUU9BS_rt183mHzWwVO_pSa0=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.426024,Neutral
UgxjkU12nmlY1DILUkN4AaABAg,m3 sound is so good,1 year ago,@ethanheer3035,UCfvXjzyLa0h0RzpmyEXpTHw,1,,https://yt3.ggpht.com/ytc/AIdro_k171yMDtn8o398C3lxd39OcZg4d7MFhNvJGfTuGHa2Zi2ow4EOwQv8jolERX9FY3-O3w=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.434614,Positive
UgxTlnFd5GYGf6u0an14AaABAg,« Shut up! I said shut up »,1 year ago,@arasakulasingamthaban7253,UCylgBYfkjvOnF6xYjWfU-xA,0,1,https://yt3.ggpht.com/ytc/AIdro_kY_Wsy8sB0WFrXttEGSuPBO9SToh-xSHTLP8S0TMp-91s=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.435813,Neutral
Ugz5P6HlGUEwHqUKtGJ4AaABAg,"The Porsche 911 is a thoroughbred sports car, however the lines and aggressiveness of the BMW M3 and the interior space make me inclined to direct my purchase intention to the BMW M3 without a doubt.",1 year ago,@armandosanchez-m2w,UChac-_f88FqX0EuRVtNVHqA,1,,https://yt3.ggpht.com/ytc/AIdro_lbpRUu5gbsvWTmsdI3NZ15kpk0Ej3nbI--JsDIpwlL-8rX0jbLwi0IQmkjLB0HWRjkqw=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.436322,Negative
UgwMbeuP2gyI68S0JNJ4AaABAg,that 911 is a thing of beauty! 😍 Bemers are butt ugly and driven by people that use android phones! 😁,1 year ago (edited),@steveindorset,UC8P3q0Vq-6YdLoh-njrqHJg,1,,https://yt3.ggpht.com/UKXtl4sIQW3AolFWxcrimMEGxWtDHN1uVJ7t9YmU_VT1iFruzIwxm8sESrldIa8uIakDxkAxDVk=s88-c-k-c0x00ffffff-no-rj,False,False,1719736953.436322,Positive
UgxTlnFd5GYGf6u0an14AaABAg.9yaGHxN7ZqkA2bzNXxq_Ap,"""********""",1 year ago,@abaseenmirwais9,UC84dAxgAetg5SV7UsUtV0SA,0,,https://yt3.ggpht.com/go-MIYkNzvWjpRmVbEQhihMM4ujhvVAcjvlVRKcxF7GQVqKhdlEwsP5duC5oGWDRf6im39xk4g=s88-c-k-c0x00ffffff-no-rj,False,True,1719736954.602278,Neutral
UgwIzbdfjuIbyo2_Vd54AaABAg,"😮: They needed the grill to be much larger so that they could have it closer to the radiator which was itself required to be pushed forward with the S58. The grill would have otherwise not allowed space/time to disperse and “hit” all areas of the radiators. They had three options. 1. Use a smaller (and less powerful) engine to move the radiator back, away from the grill bodywork. 2. Make the nose of the car jut out awkwardly far to give space between the grill bodywork and the radiator assembly. 3. Make the grill bigger.
They went with #3.",1 year ago,@wreilly09,UCZTOmDVMKSX-FFCusEGJxDg,1,,https://yt3.ggpht.com/ytc/AIdro_keDIrccbmvJXqFMbswuMuHwSJNPI-jVyHJ_VhPgVsvkUc=s88-c-k-c0x00ffffff-no-rj,False,False,1719736956.32483,Positive
UgxHQW_56ceKAcNcvgJ4AaABAg,"As a german who lives near stuttgart and therefore sees the 911 every day i find it boring in design, i like the bmw design more its sharper and it has 4 doors",1 year ago,@ItsBananaCool,UC9sU2kRgVENopwf2IuCgGDQ,1,,https://yt3.ggpht.com/ifq6qCjncDyvdXhrz6GO0CS1AsCWspeN9-whp6gmK4ooxcFlMXsSgnhgx88Ss-xkQCU61Jjnqg=s88-c-k-c0x00ffffff-no-rj,False,False,1719736956.32483,Positive
UgxfQPiNNQxgxxZI0St4AaABAg,As a German thanks for 17:07,1 year ago,@ItsBananaCool,UC9sU2kRgVENopwf2IuCgGDQ,0,,https://yt3.ggpht.com/ifq6qCjncDyvdXhrz6GO0CS1AsCWspeN9-whp6gmK4ooxcFlMXsSgnhgx88Ss-xkQCU61Jjnqg=s88-c-k-c0x00ffffff-no-rj,False,False,1719736956.32684,Positive
UgzFg51FFQSKiFxeQk14AaABAg,The new BMW grille is awesome! love it.,1 year ago,@sandersonjd776,UCsFMxar_7y49acCgTs8oD5g,1,,https://yt3.ggpht.com/b_w1LjMWosEUW5v-4JlDfgShkozW9TEOWWPZ3pwq2zoDgkC7lBg2HXRDnyUOrApInVGjz60sbWs=s88-c-k-c0x00ffffff-no-rj,False,False,1719736956.32885,Positive
